product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Помело,6824,933,Фрукты,Помогает поддерживать нормальный обмен веществ и метаболизм.,2021-11-16,2029-08-03,3.18,Delivered
2,Баклажан,1786,214,Овощи,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",1999-02-23,2006-09-02,2.56,Awaiting Review
3,Кольраби,4268,974,Овощи,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2014-01-15,2025-08-06,1.52,Backorder
4,Донат магний,7314,853,Напитки,"Является источником витаминов группы B, необходимых для энергетического обмена.",2008-02-02,2014-02-28,3.35,Temporarily Unavailable
5,Эмменталь,3752,98,Молочные продукты,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",1999-01-08,2010-01-02,4.83,Awaiting Review
6,Каша из дробленной пшеничной крупы,3198,59,Бакалея,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",1994-01-14,2025-08-05,3.6,In Stock
7,Зеленый перец молотый,7766,897,Бакалея,Является важным компонентом сбалансированного рациона питания.,2007-01-01,2027-01-01,0.65,New
8,Моцарелла,9096,217,Молочные продукты,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,1996-01-04,2007-10-21,5.0,Awaiting Payment
9,Солонина,9350,769,Мясо,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2003-07-12,2010-08-15,4.82,Cancelled
10,Редис,9121,786,Овощи,Подходит для использования в рецептах традиционной кухни разных стран.,2000-05-02,2015-05-18,2.78,Awaiting Review
11,Coca-Cola Zero,8628,873,Напитки,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2002-01-01,2022-07-01,0.61,Sold
12,Фейхоа,2830,479,Фрукты,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",1990-01-05,1994-02-01,3.02,Returned
13,Сардельки,8279,687,Мясо,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2016-01-01,2016-04-02,3.45,Cancelled
14,Пакеты для дня рождения,1792,764,Товары для дома,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2005-01-13,2009-01-17,1.39,Refunded
15,Мортаделла,4071,894,Мясо,Широко используется в традиционной и современной кухне.,1997-06-22,2001-04-04,2.88,Delivered
16,Пылесос,9616,788,Товары для дома,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2001-01-07,2027-06-05,1.52,In Stock
