Product ID,Name,Price,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
1,Сельдерей,8603,865,Овощи,Прошел строгий контроль качества на всех этапах производства.,2006-06-17,2030-01-02,1.84,Temporarily Unavailable
2,Тыква,398,328,Овощи,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,1993-02-06,1998-02-02,2.16,In Stock
3,Реутовская,6958,911,Напитки,Способствует поддержанию нормальной микрофлоры кишечника.,2015-03-08,2027-01-11,2.27,Awaiting Review
4,Горячий шоколад,3743,687,Напитки,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2019-06-02,2024-01-09,2.79,Sold
5,Пакеты для Дня космонавтики,2039,217,Товары для дома,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1999-02-18,2007-01-03,1.52,Backorder
6,Брынза,9910,730,Молочные продукты,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2019-09-02,2024-01-05,3.66,New
7,Задняя часть,2112,145,Мясо,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2005-01-04,2018-05-17,0.52,Available for Pickup
8,Топлёное молоко,2943,967,Молочные продукты,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2004-06-24,2025-06-12,4.07,Available for Pickup
9,Простокваша,8072,101,Молочные продукты,Представляет собой ценный источник питательных веществ для растущего организма.,2009-01-12,2015-11-05,0.68,Refunded
10,Фета,2074,738,Молочные продукты,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",1998-01-03,2019-04-16,1.64,Returned
11,Фейхоа,4505,447,Фрукты,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",2013-01-05,2022-02-18,2.39,Backorder
12,Хурма,901,793,Фрукты,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2022-04-04,2023-02-01,1.59,On Backorder
13,Пакеты для театра,7885,161,Товары для дома,"Подходит для использования в диетах, направленных на снижение веса.",2006-07-10,2026-04-03,2.17,Cancelled
14,Каймак,3563,411,Молочные продукты,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2008-03-10,2010-04-07,0.79,On Backorder
15,Парфюм,5121,217,Товары для дома,"Обладает мягким вкусом, который нравится многим потребителям.",2007-04-01,2026-01-01,2.27,Returned
16,Шубат,4534,819,Молочные продукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1993-01-18,2008-08-03,5.0,On Backorder
17,Кровяная колбаса,2549,584,Мясо,Способствует снижению уровня стресса и улучшению настроения.,2000-02-16,2012-01-03,1.97,Sold
18,Ряженка,9569,957,Молочные продукты,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2021-02-02,2021-04-08,1.87,Refunded
19,Брынза,4533,871,Молочные продукты,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",1992-03-11,2011-03-03,1.17,Backorder
20,Кокос,8625,911,Фрукты,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2002-05-13,2018-10-18,2.26,Out of Stock
21,Балык,2529,266,Мясо,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",1992-05-13,2004-03-08,1.33,Awaiting Payment
22,Брюква,6482,216,Овощи,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",1992-01-06,1993-07-04,3.52,Pending
23,Спаржа,7242,225,Овощи,Представляет собой ценный источник питательных веществ для растущего организма.,1996-01-02,2002-01-01,2.59,Refunded
24,Творог,6046,370,Молочные продукты,Служит основой для создания множества кулинарных шедевров.,2017-05-02,2022-02-01,3.79,Shipping
25,Пакеты для Дня благодарения,675,286,Товары для дома,Подходит для использования в рационе людей с повышенным давлением.,2007-07-03,2017-02-01,3.71,Sold
26,Копчености,2698,465,Мясо,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,1996-03-10,2029-10-08,1.57,Awaiting Payment
27,Батат,3274,325,Овощи,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1995-01-15,1999-03-03,1.5,In Stock
28,Цукини,2687,754,Овощи,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2018-02-02,2024-03-03,0.66,Awaiting Payment
29,Ряженка,9815,134,Молочные продукты,Помогает улучшить когнитивные функции и память.,2005-03-06,2009-01-02,3.66,On Backorder
30,Ласси,2388,507,Молочные продукты,Прошел проверку на соответствие экологическим нормам и стандартам.,2004-01-06,2005-03-04,4.87,Pending
31,Уксус,7483,595,Бакалея,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2008-02-01,2018-08-01,2.36,Out of Stock
32,Каймак,2697,689,Молочные продукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2021-08-07,2030-01-04,3.33,Returned
33,Каймак,6964,462,Молочные продукты,Отличается легкостью в переваривании и усвоении организмом.,1996-06-09,2015-01-20,0.23,In Stock
34,Пакеты для аукциона,4667,276,Товары для дома,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",1990-03-01,2005-11-15,2.06,Delivered
35,Патиссон,7787,236,Овощи,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",1994-04-28,2014-05-08,3.98,Awaiting Payment
36,Реутовская,6529,709,Напитки,Помогает нормализовать артериальное давление и уровень холестерина.,2018-05-22,2022-09-08,3.84,Cancelled
37,Анис звездчатый,3927,236,Бакалея,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",1991-05-05,1998-03-06,2.4,Awaiting Payment
38,Чечевица,3347,303,Овощи,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2022-01-18,2024-10-14,0.22,Backorder
39,Каша из дробленной гречки,3348,668,Бакалея,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2002-06-14,2023-10-01,4.68,Awaiting Review
40,Инжир,8485,888,Фрукты,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",1997-01-04,2024-12-01,1.93,Returned
41,Мак семена,5943,413,Бакалея,"Является источником важных микроэлементов, таких как магний и калий.",2021-06-10,2030-02-10,3.71,Temporarily Unavailable
42,Гауда,4926,135,Молочные продукты,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2020-09-05,2030-03-14,1.98,Out of Stock
43,Шелковица,7488,819,Фрукты,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",1991-01-01,2000-06-13,3.29,Awaiting Review
44,Каша из дробленного риса,4797,540,Бакалея,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2009-01-26,2010-01-18,2.77,New
45,Цукини,3445,1000,Овощи,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2009-02-12,2029-03-06,4.77,New
46,Балык,1594,931,Мясо,Помогает поддерживать оптимальный вес и форму тела.,1990-03-01,1991-03-04,0.19,New
47,Мацони,8177,586,Молочные продукты,Помогает поддерживать нормальный обмен веществ и метаболизм.,2012-01-12,2018-06-06,1.56,Pending
48,Черника,1762,972,Фрукты,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2021-02-10,2026-01-13,1.92,On Backorder
